emp_id,start_date,end_date,org,title,description,company_tag,industry,nature,unemployed
E1001,2015-07-01,2019-02-28,星澜科技,后端开发工程师,负责交易系统的服务端开发 主导过一次分库分表改造,大厂,互联网,民营,
E1003,2016-04-01,2020-08-15,云枢智能,算法工程师,从 0 到 1 搭建实时推荐系统 负责召回与排序模型的迭代 使用 Python 和 Spark 做特征处理,大厂,人工智能,民营,
E1003,2014-07-01,2016-03-20,远岸数据,数据挖掘工程师,参与用户画像标签体系建设,中型,互联网,民营,
E1004,2015-08-01,2018-04-30,墨白网络,产品经理,负责广告投放平台的产品设计与商业化策略,中型,互联网,民营,
E1005,2017-06-01,2021-01-31,星澜科技,后端开发工程师,负责支付风控服务的后端开发 用 Go 重写了规则引擎 后期转做风控策略算法,大厂,互联网,民营,
E1007,2014-03-01,2019-10-25,广域人才,招聘顾问,负责技术岗位的招聘与人才盘点,中型,人力资源服务,民营,
E1009,2018-09-01,2022-05-31,澜图信息,前端开发工程师,负责中后台系统的前端架构与组件库建设,中型,企业服务,民营,
E1009,2022-06-01,2022-06-12,,,,,,,true
E1010,2016-07-01,2020-03-06,拾光传媒,内容运营,负责社区内容运营与创作者激励,中型,文娱,民营,
E1012,2013-07-01,2017-03-31,恒言咨询,咨询顾问,为零售客户提供数据驱动的增长咨询,中型,咨询,外资,
E1013,2017-03-01,2021-07-20,云舸文化,市场经理,负责品牌传播与线下活动策划,中型,广告营销,民营,
E1014,2014-08-01,2019-06-05,星澜科技,渠道运营,负责渠道拓展与代理商管理 带过十人团队,大厂,互联网,民营,
E1016,2012-07-01,2016-11-10,长风软件,软件工程师,负责支付网关的开发与维护 配合风控团队接入交易反欺诈规则,中型,金融科技,民营,
E1017,2019-07-01,2023-02-24,远岸数据,数据仓库工程师,负责离线数仓建模与指标口径治理 用 Spark 重构了 ODS 到 ADS 的分层任务,中型,大数据,民营,
E1018,2015-09-01,2018-08-31,墨白网络,用户研究员,负责可用性测试与用户访谈,中型,互联网,民营,
E1020,2018-04-01,2021-12-20,拾光传媒,内容运营主管,负责短视频内容运营 带过五人小组,中型,文娱,民营,
E1020,2021-12-21,2022-01-09,,,,,,,true
