emp_id,start_date,end_date,org,org_path,title,level,seq_l1,seq_l2,seq_l3
E1001,2019-03-04,2021-06-30,平台技术部,示例科技/技术中心/平台技术部,后端开发工程师,P6,技术,后端开发,服务端
E1001,2021-07-01,,平台技术部,示例科技/技术中心/平台技术部,高级后端开发工程师,P7,技术,后端开发,服务端
E1002,2017-07-03,2019-12-31,用户增长部,示例科技/增长中心/用户增长部,渠道运营专员,P5,运营,渠道运营,
E1002,2020-01-01,2022-03-31,用户增长部,示例科技/增长中心/用户增长部,渠道运营经理,P6,运营,渠道运营,
E1002,2022-04-01,,用户增长部,示例科技/增长中心/用户增长部,渠道运营负责人,M1,运营,渠道运营,
E1003,2020-09-01,,数据平台部,示例科技/技术中心/数据平台部,算法工程师,P7,技术,算法,推荐算法
E1004,2018-05-14,2020-12-31,商业化产品部,示例科技/产品中心/商业化产品部,产品经理,P6,产品,产品设计,
E1004,2021-01-01,,商业化产品部,示例科技/产品中心/商业化产品部,高级产品经理,P7,产品,产品设计,
E1005,2021-02-22,2022-12-31,数据平台部,示例科技/技术中心/数据平台部,算法工程师,P7,技术,算法,
E1005,2023-01-01,,商业化产品部,示例科技/产品中心/商业化产品部,产品经理,P7,产品,产品设计,
E1006,2016-07-01,2018-06-30,体验设计部,示例科技/产品中心/体验设计部,交互设计师,P5,设计,交互设计,
E1006,2018-07-01,,体验设计部,示例科技/产品中心/体验设计部,高级交互设计师,P6,设计,交互设计,
E1007,2019-11-04,,人力资源部,示例科技/职能中心/人力资源部,HRBP,M1,职能,人力资源,
E1008,2018-07-02,2021-08-31,数据平台部,示例科技/技术中心/数据平台部,算法工程师,P7,技术,算法,搜索算法
E1008,2021-09-01,,数据平台部,示例科技/技术中心/数据平台部,算法专家,P8,技术,算法,搜索算法
E1009,2022-06-13,,应用研发部,示例科技/技术中心/应用研发部,前端开发工程师,P6,技术,前端开发,
E1010,2020-03-16,,用户增长部,示例科技/增长中心/用户增长部,用户运营经理,P6,运营,用户运营,
E1011,2015-07-06,2017-12-31,平台技术部,示例科技/技术中心/平台技术部,测试开发工程师,P5,技术,测试开发,
E1011,2018-01-01,2020-09-30,平台技术部,示例科技/技术中心/平台技术部,高级测试开发工程师,P6,技术,测试开发,
E1011,2020-10-01,,平台技术部,示例科技/技术中心/平台技术部,测试开发专家,P7,技术,测试开发,
E1012,2017-04-10,2019-09-30,商业分析部,示例科技/增长中心/商业分析部,数据分析师,P6,商业分析,数据科学,
E1012,2019-10-01,,商业分析部,示例科技/增长中心/商业分析部,高级数据分析师,P7,商业分析,数据科学,
E1013,2021-08-02,,市场品牌部,示例科技/市场中心/市场品牌部,品牌市场经理,P6,市场,品牌市场,
E1014,2019-06-17,2021-12-31,用户增长部,示例科技/增长中心/用户增长部,渠道运营经理,P7,运营,渠道运营,
E1014,2022-01-01,,用户增长部,示例科技/增长中心/用户增长部,增长运营负责人,M2,运营,渠道运营,
E1015,2019-07-08,,应用研发部,示例科技/技术中心/应用研发部,后端开发工程师,P6,技术,后端开发,
E1016,2016-11-21,2019-05-31,平台技术部,示例科技/技术中心/平台技术部,后端开发工程师,P6,技术,后端开发,
E1016,2019-06-01,2022-02-28,平台技术部,示例科技/技术中心/平台技术部,后端技术专家,P7,技术,后端开发,
E1016,2022-03-01,,平台技术部,示例科技/技术中心/平台技术部,后端技术负责人,M1,技术,后端开发,
E1017,2023-03-06,,数据平台部,示例科技/技术中心/数据平台部,数据开发工程师,P6,技术,数据开发,
E1018,2018-09-10,2021-03-31,商业化产品部,示例科技/产品中心/商业化产品部,产品经理,P6,产品,产品设计,
E1018,2021-04-01,,体验设计部,示例科技/产品中心/体验设计部,用户研究员,P7,产品,用户研究,
E1019,2014-07-07,2016-12-31,应用研发部,示例科技/技术中心/应用研发部,前端开发工程师,P5,技术,前端开发,
E1019,2017-01-01,2020-06-30,应用研发部,示例科技/技术中心/应用研发部,高级前端开发工程师,P6,技术,前端开发,
E1019,2020-07-01,,应用研发部,示例科技/技术中心/应用研发部,前端技术专家,P7,技术,前端开发,
E1020,2022-01-10,,用户增长部,示例科技/增长中心/用户增长部,内容运营经理,P6,运营,内容运营,
